folder,droid_score,raft_score,combined_score,task
lift_eggplant_s59,0.169406533241271,0.24859886278255702,0.205217619886099,lift_eggplant
lift_eggplant_s69,0.137634128332138,0.301620568813876,0.20374808974746603,lift_eggplant
lift_eggplant_s46,0.131485566496849,0.306183393172256,0.20064569993693246,lift_eggplant
lift_eggplant_s55,0.148834615945816,0.267060410893997,0.19936858752005007,lift_eggplant
lift_eggplant_s67,0.141979575157165,0.266378240103464,0.1944743411378558,lift_eggplant
lift_eggplant_s68,0.131825238466262,0.28456061962981,0.19368084970075639,lift_eggplant
lift_eggplant_s65,0.159950226545333,0.21877676981153102,0.18706521294513995,lift_eggplant
lift_eggplant_s58,0.130546361207962,0.24655455367602802,0.1794067998200141,lift_eggplant
lift_eggplant_s43,0.11094716936349801,0.28037154490987604,0.1763701484884038,lift_eggplant
lift_eggplant_s42,0.09596740454435301,0.21619882670365903,0.14404180040628664,lift_eggplant
put_blue_cup_on_plate_s47,0.19102850556373502,0.644424550769211,0.3508610250256128,put_blue_cup_on_plate
put_blue_cup_on_plate_s46,0.13877829909324602,0.7933408794526591,0.3318109369077215,put_blue_cup_on_plate
put_blue_cup_on_plate_s48,0.146905377507209,0.7371265979202001,0.32907120982862,put_blue_cup_on_plate
put_blue_cup_on_plate_s42,0.162714168429374,0.634143019829542,0.321222748473479,put_blue_cup_on_plate
put_blue_cup_on_plate_s68,0.171530306339263,0.586917679245902,0.3172919307467161,put_blue_cup_on_plate
put_blue_cup_on_plate_s57,0.16413974761962802,0.610686050912274,0.316603623276121,put_blue_cup_on_plate
put_blue_cup_on_plate_s60,0.163287505507469,0.5910452678219561,0.31066108128415626,put_blue_cup_on_plate
put_blue_cup_on_plate_s44,0.16287386417388902,0.5508688192167941,0.29953653072496306,put_blue_cup_on_plate
put_blue_cup_on_plate_s43,0.146253481507301,0.48710001665066804,0.26690836119804207,put_blue_cup_on_plate
put_blue_cup_on_plate_s49,0.128429532051086,0.505083775688427,0.25469132878498313,put_blue_cup_on_plate
put_carrot_on_plate_s48,0.12806509435176802,0.798834432884701,0.3198480999143505,put_carrot_on_plate
put_carrot_on_plate_s54,0.12085929512977601,0.8233787371109581,0.31545677008438977,put_carrot_on_plate
put_carrot_on_plate_s64,0.11012837290763801,0.819890890793279,0.30048835212842734,put_carrot_on_plate
put_carrot_on_plate_s56,0.12657183408737102,0.710916463746548,0.2999699996654809,put_carrot_on_plate
put_carrot_on_plate_s65,0.15250486135482702,0.511837907354697,0.27938820500742845,put_carrot_on_plate
put_carrot_on_plate_s67,0.11856126785278301,0.535323063049587,0.25192971453561075,put_carrot_on_plate
put_carrot_on_plate_s59,0.104042723774909,0.600240058815057,0.24990120175367328,put_carrot_on_plate
put_carrot_on_plate_s50,0.107216171920299,0.573092029373793,0.24788048238514793,put_carrot_on_plate
put_carrot_on_plate_s57,0.12310652434825801,0.48882863391447506,0.24531203419954356,put_carrot_on_plate
put_carrot_on_plate_s62,0.161688283085823,0.361562810447389,0.24178600052303112,put_carrot_on_plate
put_eggplant_into_pot_s53,0.164966836571693,0.321406080230805,0.23026364087841497,put_eggplant_into_pot
put_eggplant_into_pot_s60,0.129262760281562,0.40275874604807704,0.22817034698162486,put_eggplant_into_pot
put_eggplant_into_pot_s59,0.147250488400459,0.34701479276339603,0.22604888346681595,put_eggplant_into_pot
put_eggplant_into_pot_s46,0.124795332551002,0.38433729158775803,0.2190057079517465,put_eggplant_into_pot
put_eggplant_into_pot_s43,0.120944879949092,0.359480525127224,0.20851217939379144,put_eggplant_into_pot
put_eggplant_into_pot_s55,0.11020976305007901,0.36567119374474405,0.20074993304319624,put_eggplant_into_pot
put_eggplant_into_pot_s66,0.106250613927841,0.37499284760488505,0.19960766587625928,put_eggplant_into_pot
put_eggplant_into_pot_s56,0.136578008532524,0.261054280869412,0.18882339314829205,put_eggplant_into_pot
put_eggplant_into_pot_s62,0.09719274193048401,0.360147740061925,0.18709288163018314,put_eggplant_into_pot
put_eggplant_into_pot_s50,0.097744606435298,0.355920823706518,0.18651900931358362,put_eggplant_into_pot
stack_blue_cup_on_pink_cup_s56,0.16895797848701402,0.561410411215005,0.3079850129153211,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s60,0.176493942737579,0.530906358604003,0.30610742633015536,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s59,0.16180369257926902,0.56638840700652,0.302727163775808,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s45,0.177564203739166,0.5037667949712671,0.299083516462049,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s68,0.152487248182296,0.5651046392027751,0.29354940191913254,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s47,0.158733382821083,0.519296644321924,0.28710575236462216,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s42,0.149690821766853,0.540136355006248,0.28434741927268814,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s58,0.15641319751739502,0.5054867320288721,0.2811846298417723,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s63,0.140530750155448,0.5144576308348321,0.2688812317444516,stack_blue_cup_on_pink_cup
stack_blue_cup_on_pink_cup_s55,0.137527450919151,0.5048619383440021,0.26350023803889094,stack_blue_cup_on_pink_cup
