Folder,RAFT Score
stack_blue_cup_on_pink_cup_s43,0.5892376015400209
stack_blue_cup_on_pink_cup_s44,0.6895819254835838
stack_blue_cup_on_pink_cup_s45,0.5037667949712679
stack_blue_cup_on_pink_cup_s46,0.5317314698222659
stack_blue_cup_on_pink_cup_s47,0.5192966443219242
stack_blue_cup_on_pink_cup_s48,0.4736382007832046
stack_blue_cup_on_pink_cup_s49,0.5967250645374386
stack_blue_cup_on_pink_cup_s50,0.6372569005470666
stack_blue_cup_on_pink_cup_s51,0.888056274642785
stack_blue_cup_on_pink_cup_s52,0.6473433964413966
stack_blue_cup_on_pink_cup_s53,0.6896641704764911
stack_blue_cup_on_pink_cup_s54,0.5326089515751086
stack_blue_cup_on_pink_cup_s55,0.5048619383440027
stack_blue_cup_on_pink_cup_s56,0.5614104112150059
stack_blue_cup_on_pink_cup_s57,0.5113118908671798
stack_blue_cup_on_pink_cup_s58,0.5054867320288727
stack_blue_cup_on_pink_cup_s59,0.5663884070065203
stack_blue_cup_on_pink_cup_s60,0.530906358604003
stack_blue_cup_on_pink_cup_s61,0.7147747280846614
stack_blue_cup_on_pink_cup_s62,0.6720879916657639
stack_blue_cup_on_pink_cup_s63,0.5144576308348321
stack_blue_cup_on_pink_cup_s64,1.0248718455580708
stack_blue_cup_on_pink_cup_s65,0.5062215322288028
stack_blue_cup_on_pink_cup_s66,0.6757473058152575
stack_blue_cup_on_pink_cup_s67,0.5039483641053665
stack_blue_cup_on_pink_cup_s68,0.5651046392027753
stack_blue_cup_on_pink_cup_s69,0.6517288744481035
stack_blue_cup_on_pink_cup_s70,0.665938687823078
stack_blue_cup_on_pink_cup_s71,0.5291594735227568
