folder,droid_score,raft_score,combined_score,task
lift_eggplant_s42,0.09596740454435301,0.21619882670365903,0.14404180040628664,lift_eggplant
lift_eggplant_s43,0.11094716936349801,0.28037154490987604,0.1763701484884038,lift_eggplant
lift_eggplant_s44,0.19374941289424802,0.340390002431505,0.25680802776816725,lift_eggplant
lift_eggplant_s45,0.205346956849098,0.30880538287262105,0.2518178818740109,lift_eggplant
lift_eggplant_s46,0.131485566496849,0.306183393172256,0.20064569993693246,lift_eggplant
lift_eggplant_s47,0.18186952173709803,0.256046253388508,0.2157939054893436,lift_eggplant
lift_eggplant_s48,0.204170629382133,0.27821751240755405,0.2383355714394763,lift_eggplant
lift_eggplant_s49,0.22390782833099301,0.248684812001381,0.2359713461294199,lift_eggplant
lift_eggplant_s50,0.25641906261444003,0.305175990650487,0.27973727219487754,lift_eggplant
lift_eggplant_s51,0.8372423648834221,0.323006110706249,0.5200330758706568,lift_eggplant
lift_eggplant_s52,0.42651084065437306,0.272458436380046,0.3408907108500163,lift_eggplant
lift_eggplant_s53,0.44464865326881403,0.34703224121797205,0.39281982981823804,lift_eggplant
lift_eggplant_s54,0.19341330230236,0.43284236165404905,0.28933971477117004,lift_eggplant
lift_eggplant_s55,0.148834615945816,0.267060410893997,0.19936858752005007,lift_eggplant
lift_eggplant_s56,0.157400503754615,0.36324414450047804,0.2391125495039719,lift_eggplant
lift_eggplant_s57,0.170764550566673,0.257062964681507,0.2095166858061049,lift_eggplant
lift_eggplant_s58,0.130546361207962,0.24655455367602802,0.1794067998200141,lift_eggplant
lift_eggplant_s59,0.169406533241271,0.24859886278255702,0.205217619886099,lift_eggplant
lift_eggplant_s60,0.23385481536388303,0.35746174949977605,0.2891265318661031,lift_eggplant
lift_eggplant_s61,0.125882118940353,0.334788009709023,0.20528961020469422,lift_eggplant
lift_eggplant_s62,0.21128305792808502,0.31007978535880704,0.25595820997243474,lift_eggplant
lift_eggplant_s63,0.296184033155441,0.293347960117855,0.2947625857289689,lift_eggplant
lift_eggplant_s64,0.138498559594154,0.30830116819194203,0.20663801130425877,lift_eggplant
lift_eggplant_s65,0.159950226545333,0.21877676981153102,0.18706521294513995,lift_eggplant
lift_eggplant_s66,0.181677132844924,0.307456370567594,0.23634253083105242,lift_eggplant
lift_eggplant_s67,0.141979575157165,0.266378240103464,0.1944743411378558,lift_eggplant
lift_eggplant_s68,0.131825238466262,0.28456061962981,0.19368084970075639,lift_eggplant
lift_eggplant_s69,0.137634128332138,0.301620568813876,0.20374808974746603,lift_eggplant
lift_eggplant_s70,0.19594259560108102,0.39480529029439104,0.2781351709822425,lift_eggplant
lift_eggplant_s71,0.351494222879409,0.351584638977645,0.3515394280216444,lift_eggplant
put_blue_cup_on_plate_s42,0.162714168429374,0.634143019829542,0.321222748473479,put_blue_cup_on_plate
